real,1,2,3,4,5,6,7
1,0,141,8,0,0,0,0
2,0,428,71,1,0,0,0
3,0,135,157,6,0,0,0
4,0,15,73,20,0,0,0
5,0,1,25,16,0,0,0
6,0,0,9,11,0,0,0
7,0,0,1,1,0,0,0
