real,1,2,3,4,5,6,7
1,124,19,6,0,0,0,0
2,322,147,29,1,1,0,0
3,60,111,110,15,1,0,1
4,6,16,46,24,14,2,0
5,0,2,7,17,7,5,4
6,0,0,0,2,3,3,12
7,0,0,0,0,0,0,2
