real,1,2,3,4,5,6,7
1,117,27,5,0,0,0,0
2,313,157,28,2,0,0,0
3,55,122,106,12,2,1,0
4,5,20,44,30,9,0,0
5,0,3,6,12,17,4,0
6,0,0,0,4,4,11,1
7,0,0,0,0,0,2,0
