real,1,2,3,4,5,6,7
1,0,140,9,0,0,0,0
2,0,429,69,2,0,0,0
3,0,124,153,18,0,3,0
4,0,16,52,36,3,1,0
5,0,2,7,20,6,7,0
6,0,0,0,5,4,11,0
7,0,0,0,0,0,2,0
