algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
Softmax HP,GDS_R4,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17876890155851344,0.15832506576350416
Softmax HP,GDS_R4,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17095014702251352,0.2380488918050094
Softmax HP,GDS_R4,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1709426649607566,0.2557188446492818
Softmax HP,GDS_R4,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1765317650931891,0.2091625725871408
Softmax HP,GDS_R4,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17075935444771162,0.2450340732255881
CORAL sin pesos,GDS_R4,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3240331305694597,0.3950574026242614
CORAL sin pesos,GDS_R4,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3273364608351477,0.4114577828462056
CORAL sin pesos,GDS_R4,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.32965215894892,0.3935211108878461
CORAL sin pesos,GDS_R4,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3329667123072434,0.38360550778677127
CORAL sin pesos,GDS_R4,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3549041173785848,0.40652900771923656
CORAL con pesos,GDS_R4,1,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.32513673467860804,0.37679574698683477
CORAL con pesos,GDS_R4,2,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.32511054746245877,0.4098823650104957
CORAL con pesos,GDS_R4,3,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.33188929541424433,0.3872259335628927
