algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
CORN,GDS_R1,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10602455612668626,0.6595947059215552
Softmax equiparado (argmax),GDS_R1,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11283697335637809,0.6486197139947127
Softmax equiparado (argmax),GDS_R1,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10500699572774273,0.6896092164661373
Softmax equiparado (argmax),GDS_R1,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10616297426918962,0.6764194558180265
Softmax equiparado (argmax),GDS_R1,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.09162158724458112,0.7052929356711025
Softmax equiparado (argmax),GDS_R1,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10488728273963173,0.6873658485009678
Softmax equiparado (mediana),GDS_R1,1,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.11283697335637809,0.6486197139947127
Softmax equiparado (mediana),GDS_R1,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10500699572774273,0.6896092164661373
Softmax equiparado (mediana),GDS_R1,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10616297426918962,0.6764194558180265
Softmax equiparado (mediana),GDS_R1,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.09162158724458112,0.7052929356711025
Softmax equiparado (mediana),GDS_R1,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.10488728273963173,0.6873658485009678
Softmax fijo,GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R2,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R2,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R2,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax HP,GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.30055816180706757,0.6770890170679049
Softmax HP,GDS_R2,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2904910477131078,0.6875394514060177
Softmax HP,GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2949728027055135,0.6833243429517696
Softmax HP,GDS_R2,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2882800984639327,0.689461778419223
Softmax HP,GDS_R2,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2667467247274659,0.7204700029837886
CORAL sin pesos,GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.31616948366291814,0.6685102495821983
CORAL sin pesos,GDS_R2,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3016767300397298,0.6828141685598932
CORAL sin pesos,GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.30726583017216225,0.6721638661151049
CORAL sin pesos,GDS_R2,4,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.292750630363703,0.6946429806008991
CORAL sin pesos,GDS_R2,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.28457647789424856,0.7091256268961216
CORAL con pesos,GDS_R2,1,"{""beta"": 0.999, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.31395853441374305,0.6859082063349055
CORAL con pesos,GDS_R2,2,"{""beta"": 0.99, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2960689247529049,0.6987739915086104
CORAL con pesos,GDS_R2,3,"{""beta"": 0.99, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.3072845353265546,0.6859961249229004
CORAL con pesos,GDS_R2,4,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2949840257981489,0.6937592933333238
CORAL con pesos,GDS_R2,5,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2868173553904514,0.7060082563264843
CORN,GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2871278609533643,0.6878458219154518
CORN,GDS_R2,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.28600555168982367,0.6871636217194994
CORN,GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.29719871607820253,0.6738771186538264
CORN,GDS_R2,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.27710938026082466,0.695339012812935
CORN,GDS_R2,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.266739242665709,0.7230233202136539
Softmax equiparado (argmax),GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.29830606121822933,0.6806183230119722
Softmax equiparado (argmax),GDS_R2,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2882576522786619,0.6953118728774381
Softmax equiparado (argmax),GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.29384675241109437,0.6741528419977447
Softmax equiparado (argmax),GDS_R2,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2793502577570275,0.6904465805859527
Softmax equiparado (argmax),GDS_R2,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2790210470397223,0.7057612296785866
Softmax equiparado (mediana),GDS_R2,1,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.29830606121822933,0.6806183230119722
Softmax equiparado (mediana),GDS_R2,2,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2882576522786619,0.6953118728774381
Softmax equiparado (mediana),GDS_R2,3,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.29384675241109437,0.6741528419977447
Softmax equiparado (mediana),GDS_R2,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2793502577570275,0.6904465805859527
Softmax equiparado (mediana),GDS_R2,5,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.2790210470397223,0.7057612296785866
Softmax fijo,GDS_R3,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",nan,nan
Softmax fijo,GDS_R3,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",nan,nan
Softmax fijo,GDS_R3,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",nan,nan
Softmax fijo,GDS_R3,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",nan,nan
Softmax fijo,GDS_R3,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",nan,nan
Softmax HP,GDS_R3,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",0.09382879546287776,0.5934814937683747
Softmax HP,GDS_R3,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",0.08825840048483762,0.6183674741746351
Softmax HP,GDS_R3,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",0.09275137856987871,0.5842822523742991
Softmax HP,GDS_R3,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 3]",0.07820999154527021,0.6610051927426727
