real,1,2,3,4,5,6,7
1,0,141,7,1,0,0,0
2,0,439,59,2,0,0,0
3,0,135,137,23,0,3,0
4,0,18,44,41,3,2,0
5,0,2,7,21,4,8,0
6,0,0,0,5,4,11,0
7,0,0,0,0,0,2,0
