real,1,2,3,4,5,6,7
1,0,141,7,1,0,0,0
2,0,428,69,3,0,0,0
3,0,130,145,22,1,0,0
4,0,17,50,37,4,0,0
5,0,1,10,28,3,0,0
6,0,0,1,10,9,0,0
7,0,0,0,1,1,0,0
